target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.9,adaptive_transport_conformal,384,0.5625,-0.3375,0.8359375,1.1962616822429906,0.8359375,0.1640625,0.724,0.26119402985074625
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.95,split_conformal_source_calibration,384,0.9661458333333334,0.016145833333333415,1.6875,0.5925925925925926,0.3125,0.0,0.972,0.9552238805970149
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.95,adaptive_transport_conformal,384,0.9661458333333334,0.016145833333333415,1.6875,0.5925925925925926,0.3125,0.0,0.972,0.9552238805970149
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.8,split_conformal_source_calibration,1146,0.20855148342059338,-0.5914485165794067,0.2617801047120419,3.82,0.2617801047120419,0.7382198952879581,0.2033898305084746,0.23267326732673269
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,1146,0.2757417102966841,-0.5242582897033159,0.36910994764397903,2.7092198581560285,0.36910994764397903,0.6308900523560209,0.2478813559322034,0.40594059405940597
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.9,split_conformal_source_calibration,1146,0.4493891797556719,-0.45061082024432814,0.7504363001745201,1.3325581395348836,0.7504363001745201,0.24956369982547993,0.3813559322033898,0.7673267326732673
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.9,adaptive_transport_conformal,1146,0.6509598603839442,-0.24904013961605587,1.1657940663176265,0.8577844311377246,0.8342059336823735,0.0,0.5836864406779662,0.9653465346534653
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.95,split_conformal_source_calibration,1146,0.9066317626527051,-0.04336823734729489,1.630890052356021,0.6131621187800963,0.36910994764397903,0.0,0.8877118644067796,0.995049504950495
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.95,adaptive_transport_conformal,1146,0.9066317626527051,-0.04336823734729489,1.630890052356021,0.6131621187800963,0.36910994764397903,0.0,0.8877118644067796,0.995049504950495
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.8,split_conformal_source_calibration,1146,0.5331588132635253,-0.2668411867364747,0.575043630017452,1.7389984825493172,0.575043630017452,0.424956369982548,0.6472457627118644,0.0
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.8,adaptive_transport_conformal,1146,0.5331588132635253,-0.2668411867364747,0.575043630017452,1.7389984825493172,0.575043630017452,0.424956369982548,0.6472457627118644,0.0
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.9,split_conformal_source_calibration,1146,0.7626527050610821,-0.13734729493891795,0.8926701570680629,1.1202346041055717,0.8926701570680629,0.10732984293193717,0.9247881355932204,0.0049504950495049506
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.9,adaptive_transport_conformal,1146,0.7643979057591623,-0.1356020942408377,0.8944153577661431,1.1180487804878048,0.8944153577661431,0.1055846422338569,0.926906779661017,0.0049504950495049506
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.95,split_conformal_source_calibration,1146,0.9581151832460733,0.008115183246073299,1.4240837696335078,0.7022058823529412,0.5759162303664922,0.0,1.0,0.7623762376237624
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.95,adaptive_transport_conformal,1146,0.9581151832460733,0.008115183246073299,1.4240837696335078,0.7022058823529412,0.5759162303664922,0.0,1.0,0.7623762376237624
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.8,split_conformal_source_calibration,1146,0.5331588132635253,-0.2668411867364747,0.575043630017452,1.7389984825493172,0.575043630017452,0.424956369982548,0.6472457627118644,0.0
