target_dataset,feature_set,model,scenario,calibration_method,conformal_method,equal_opportunity_difference,calibration_difference,coverage_gap_between_groups,reliability_gap
NHANES,model_c_extended_transport,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.29166666666666674,0.1171312219671155,0.19869096985826573,0.29166666666666674
NHANES,model_c_extended_transport,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,0.24545454545454543,0.05772835589953139,0.14181159868787518,0.24545454545454543
NHANES,model_c_extended_transport,Logistic Regression,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.26363636363636367,0.09620134446360218,0.14083678900786034,0.26363636363636367
NHANES,model_c_extended_transport,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.26363636363636367,0.09620135167206657,0.14083678900786034,0.26363636363636367
NHANES,model_c_extended_transport,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,0.21542730299667034,0.08338962304225725,0.1942037506962926,0.21542730299667034
NHANES,model_c_extended_transport,Random Forest,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.22077922077922074,0.05746140045878813,0.185445936745683,0.22077922077922074
NHANES,model_c_extended_transport,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,0.22077922077922074,0.05746140045878813,0.185445936745683,0.22077922077922074
NHANES,model_c_extended_transport,XGBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.3204545454545455,0.0710689822002894,0.39620597883270414,0.39620597883270414
NHANES,model_c_extended_transport,XGBoost,fixed_recalibration,temperature,adaptive_transport_conformal,0.251336898395722,0.07740898755937373,0.24368694683418957,0.251336898395722
NHANES,model_c_extended_transport,XGBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.251336898395722,0.1600997848187676,0.2060871448907594,0.251336898395722
Pima,model_a_screening,CatBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.44458639412328327,0.0811706610440854,0.2948717948717949,0.44458639412328327
Pima,model_a_screening,CatBoost,fixed_recalibration,beta,adaptive_transport_conformal,0.4471414883423826,0.004355072274839639,0.26617826617826623,0.4471414883423826
Pima,model_a_screening,CatBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.0,0.06004161524212803,0.1683455433455434,0.1683455433455434
Pima,model_a_screening,LightGBM,adaptive_calibration,isotonic,adaptive_transport_conformal,0.5838390290641968,0.008990459371739278,0.3867521367521367,0.5838390290641968
Pima,model_a_screening,LightGBM,fixed_recalibration,beta,adaptive_transport_conformal,0.506547428936442,0.0383552734459019,0.30112942612942617,0.506547428936442
Pima,model_a_screening,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.5688278505269881,0.07978454933230983,0.18391330891330898,0.5688278505269881
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,0.4247844139252635,0.06416370334490779,0.20894383394383392,0.4247844139252635
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,0.4522516767805813,0.06524543553490544,0.2312271062271063,0.4522516767805813
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.42286809326093905,0.09776844059711856,0.1581196581196581,0.42286809326093905
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,0.5215586074736507,0.08974424717798221,0.3458485958485959,0.5215586074736507
