target_dataset,feature_set,model,scenario,calibration_method,conformal_method,subgroup,level,n,roc_auc,ece,coverage,prediction_set_size,sensitivity,specificity,false_positive_rate,false_negative_rate
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,High,309,0.7627799227799228,0.019346579299427485,0.7702265372168284,0.8996763754045307,0.02,0.9922779922779923,0.007722007722007722,0.98
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Low,259,0.8065064735571648,0.0507511963278018,0.7992277992277992,0.9227799227799228,0.11904761904761904,1.0,0.0,0.8809523809523809
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Middle,428,0.7992995689655172,0.05623583150730116,0.7476635514018691,0.8714953271028038,0.075,0.9712643678160919,0.028735632183908046,0.925
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Unknown,150,0.7305555555555555,0.05262190239845798,0.74,0.9,0.03333333333333333,0.9833333333333333,0.016666666666666666,0.9666666666666667
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,20-44,312,0.764159354324058,0.10183014093166404,0.6025641025641025,0.8141025641025641,0.2376237623762376,0.943127962085308,0.05687203791469194,0.7623762376237624
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,45-64,63,0.5388104838709677,0.19808778903724136,0.3968253968253968,0.7301587301587301,0.7419354838709677,0.25,0.75,0.25806451612903225
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,sex,Unknown,384,0.7225522388059702,0.11439035270348447,0.5598958333333334,0.7994791666666666,0.3656716417910448,0.832,0.168,0.6343283582089553
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Pima/Native American,384,0.7225522388059702,0.11439035270348447,0.5598958333333334,0.7994791666666666,0.3656716417910448,0.832,0.168,0.6343283582089553
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Unknown,384,0.7225522388059702,0.11439035270348447,0.5598958333333334,0.7994791666666666,0.3656716417910448,0.832,0.168,0.6343283582089553
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,age_group,20-44,312,0.7506452067007648,0.05522586962209477,0.6474358974358975,0.9102564102564102,0.18811881188118812,0.957345971563981,0.04265402843601896,0.8118811881188119
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,age_group,45-64,63,0.5282258064516129,0.144970116800077,0.30158730158730157,0.5396825396825397,0.7096774193548387,0.3125,0.6875,0.2903225806451613
