target_dataset,feature_set,model,scenario,calibration_method,metric,estimate,ci_95_lower,ci_95_upper,bootstrap_repeats
NHANES,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,brier_score,0.08257941301167011,0.07002326734364032,0.09589355774223804,1000
NHANES,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,ece,0.08098478924033028,0.06793330585826222,0.09501011642507122,1000
NHANES,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,coverage,0.8906832460732985,0.8743455497382199,0.9066317626527051,1000
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,roc_auc,0.925647324425239,0.9021381785954018,0.9465479605428764,1000
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,brier_score,0.07080111588553922,0.060948826480060725,0.08128712359345192,1000
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,ece,0.025138096563465443,0.01373912688668037,0.03808110931158744,1000
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,coverage,0.8453184991273996,0.8280977312390925,0.8630017452006981,1000
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,roc_auc,0.9226388472268836,0.8992765014054372,0.9435742548036582,1000
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,brier_score,0.06927393649584396,0.059772274719852386,0.07942662400726537,1000
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,ece,0.020933286105298057,0.009414272563265892,0.03396070320519303,1000
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,coverage,0.71593630017452,0.6980802792321117,0.7347294938917975,1000
Pima,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,roc_auc,0.7627983134328358,0.7159089552238806,0.8103839552238806,1000
Pima,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,brier_score,0.306316330075264,0.29640376642346383,0.31542247608304025,1000
Pima,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,ece,0.31033100733153235,0.2999090474194838,0.3219895755571401,1000
Pima,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,coverage,0.6068802083333332,0.5859375,0.625,1000
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,roc_auc,0.7627983134328358,0.7159089552238806,0.8103839552238806,1000
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,brier_score,0.20004763335399653,0.1914301080363908,0.2081783770647516,1000
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,ece,0.0931503127733838,0.071152244385104,0.12802446589364957,1000
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,coverage,0.0,0.0,0.0,1000
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,roc_auc,0.7578592835820895,0.7111585820895522,0.8044444029850746,1000
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,brier_score,0.18702545455013678,0.16778730408723108,0.20560919007431575,1000
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,ece,0.06107680756035924,0.03236655127292894,0.09096689534329949,1000
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,coverage,0.22391927083333335,0.18743489583333334,0.2630208333333333,1000
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,roc_auc,0.9227615397927504,0.8997807937573418,0.9436080141382782,1000
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,brier_score,0.08414499337992991,0.07078585140678473,0.09694170560042802,1000
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,ece,0.0767215366862975,0.06085703442815688,0.09260350661715465,1000
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,coverage,0.877760907504363,0.8603839441535777,0.8961605584642234,1000
NHANES,model_b_routine_clinical,LightGBM,fixed_recalibration,temperature,roc_auc,0.9227615397927504,0.8997807937573418,0.9436080141382782,1000
NHANES,model_b_routine_clinical,LightGBM,fixed_recalibration,temperature,brier_score,0.07562168331465523,0.06528461538487086,0.08586478668460451,1000
NHANES,model_b_routine_clinical,LightGBM,fixed_recalibration,temperature,ece,0.04650469157542291,0.03428354962109966,0.05892192717824243,1000
NHANES,model_b_routine_clinical,LightGBM,fixed_recalibration,temperature,coverage,0.8524415357766143,0.8333333333333334,0.8717495636998255,1000
NHANES,model_b_routine_clinical,LightGBM,adaptive_calibration,isotonic,roc_auc,0.9230375954438664,0.9002865282555799,0.9420698995217317,1000
NHANES,model_b_routine_clinical,LightGBM,adaptive_calibration,isotonic,brier_score,0.07180135690737606,0.062252428464874845,0.08169333863652387,1000
NHANES,model_b_routine_clinical,LightGBM,adaptive_calibration,isotonic,ece,0.022230210642729384,0.011749829225479272,0.03380907634013573,1000
