target_dataset,feature_set,model,scenario,calibration_method,conformal_method,marginal_coverage,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high,average_prediction_set_size,referral_rate,clinical_cost
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,importance_weighted_source_conformal,0.6276041666666666,0.6243315972222222,0.5715494791666667,0.671875,0.9088541666666666,0.09114583333333333,1.5859375
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,target_only_conformal,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,adaptive_transport_conformal,0.6276041666666666,0.6243315972222222,0.5715494791666667,0.671875,0.9088541666666666,0.09114583333333333,1.5859375
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,weighted_target_dominant_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,shift_aware_source_trust_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,class_conditional_weighted_atcp,0.890625,0.8891319444444445,0.859375,0.9192708333333334,1.4869791666666667,0.4869791666666667,1.1875
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,risk_asymmetric_shift_atcp,0.8854166666666666,0.884019097222222,0.8515625,0.9128255208333332,1.46875,0.46875,1.1354166666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,dp_shift_atcp,0.859375,0.8584114583333333,0.8255208333333334,0.890625,1.3984375,0.3984375,1.0416666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,safety_gated_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,safety_gated_shift_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,multi_objective_safety_gated_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,multi_objective_dp_shift_atcp,0.859375,0.8584114583333333,0.8255208333333334,0.890625,1.3984375,0.3984375,1.0416666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,source_split_conformal,0.5989583333333334,0.5951822916666667,0.5402994791666667,0.6445963541666666,0.859375,0.140625,1.7239583333333333
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,importance_weighted_source_conformal,0.6041666666666666,0.600234375,0.5481119791666667,0.6510416666666666,0.8776041666666666,0.12239583333333333,1.734375
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,target_only_conformal,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,adaptive_transport_conformal,0.6041666666666666,0.600234375,0.5481119791666667,0.6510416666666666,0.8776041666666666,0.12239583333333333,1.734375
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,weighted_target_dominant_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,shift_aware_source_trust_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,class_conditional_weighted_atcp,0.890625,0.8891319444444445,0.859375,0.9192708333333334,1.4869791666666667,0.4869791666666667,1.1875
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,risk_asymmetric_shift_atcp,0.8854166666666666,0.884019097222222,0.8515625,0.9128255208333332,1.46875,0.46875,1.1354166666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,dp_shift_atcp,0.859375,0.8584114583333333,0.8255208333333334,0.890625,1.3984375,0.3984375,1.0416666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,safety_gated_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,safety_gated_shift_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,multi_objective_safety_gated_atcp,0.90625,0.9065625,0.8802083333333334,0.9348958333333334,1.4739583333333333,0.4739583333333333,1.4166666666666667
