target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
Pima,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,384,0.7739253731343284,0.5882527997713666,0.65625,1.0,0.014925373134328358,1.0,0.029411764705882353,0.30551424622535706,1.51657828097834,0.310979836539578,0.476429184570032,0.32931754154345194,1.2132136829780373,250,0,132,2
Pima,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,384,0.7739253731343284,0.5882527997713666,0.6692708333333334,0.6060606060606061,0.14925373134328357,0.948,0.23952095808383234,0.2458016495749872,1.0614361401863674,0.23108750898055297,0.4692532836288751,0.3292457291677226,0.6492363122942947,237,13,114,20
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,384,0.7739253731343284,0.5882527997713666,0.65625,1.0,0.014925373134328358,1.0,0.029411764705882353,0.3055142465932384,1.5165782808677284,0.310979836539578,0.476429184570032,0.32931754213763104,1.2132136852953546,250,0,132,2
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,isotonic,384,0.7684477611940299,0.5663532839715028,0.7369791666666666,0.6122448979591837,0.6716417910447762,0.772,0.6405693950177936,0.1816858837574323,0.5840989556639163,0.06670633233391758,0.49999899999999997,0.5410112401590925,-0.2082166983602048,193,57,44,90
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,1146,0.9153460102366169,0.7633920961425558,0.87521815008726,0.6130268199233716,0.7920792079207921,0.8930084745762712,0.6911447084233261,0.09245859465167135,0.5163759199559471,0.08928196609982714,0.457075735023045,0.27494612983593186,-0.794117636244046,843,101,42,160
NHANES,model_b_routine_clinical,LightGBM,label_shift_adjusted,label_shift,1146,0.9153460102366169,0.7633920961425558,0.8699825479930192,0.5936395759717314,0.8316831683168316,0.878177966101695,0.6927835051546392,0.10538253495222238,0.551227742900953,0.10741695844775823,0.5631984688180762,0.2749461724891193,-1.0109300529811558,829,115,34,168
NHANES,model_b_routine_clinical,LightGBM,fixed_recalibration_source_selected,beta,1146,0.9153460102366169,0.7633920961425558,0.9075043630017452,0.8636363636363636,0.5643564356435643,0.9809322033898306,0.6826347305389222,0.07215460057930106,0.2522684027807194,0.01244852776651228,0.08945350307116456,1.0444019376503677,0.22382988649974772,926,18,88,114
NHANES,model_b_routine_clinical,LightGBM,adaptive_calibration_target_selected,platt,1146,0.9153460102366169,0.7633920961425558,0.9075043630017452,0.8636363636363636,0.5643564356435643,0.9809322033898306,0.6826347305389222,0.07182171545866763,0.25146432242286093,0.011184169299360171,0.24974090001717492,1.037431705652147,0.19907531453915067,926,18,88,114
Pima,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,384,0.7665820895522388,0.5957504338652172,0.7005208333333334,0.6507936507936508,0.30597014925373134,0.912,0.41624365482233505,0.2112352160869473,0.900870319415724,0.1724260783669002,0.41129005811567493,0.27745770831906974,0.3427425160351465,228,22,93,41
Pima,model_b_routine_clinical,LightGBM,label_shift_adjusted,label_shift,384,0.7665820895522388,0.5957504338652172,0.7447916666666666,0.6232876712328768,0.6791044776119403,0.78,0.65,0.19719513151844556,0.7954517365876703,0.13782746980204436,0.5023477004741637,0.27744341585925253,-0.13233804741711683,195,55,43,91
Pima,model_b_routine_clinical,LightGBM,fixed_recalibration_source_selected,beta,384,0.7665820895522388,0.5957504338652172,0.7161458333333334,0.6344086021505376,0.44029850746268656,0.864,0.5198237885462555,0.1816164655429623,0.5428910812809894,0.08459843113008171,0.28165888848725595,1.268626948284467,0.060574572747270745,216,34,75,59
Pima,model_b_routine_clinical,LightGBM,adaptive_calibration_target_selected,isotonic,384,0.7585970149253731,0.5680755421177343,0.6979166666666666,0.6451612903225806,0.29850746268656714,0.912,0.40816326530612246,0.1895974230858076,0.6177199115716946,0.07007512152229492,0.33333233333333334,0.549391159474657,-0.31544290050293866,228,22,94,40
NHANES,model_b_routine_clinical,CatBoost,naive_transfer,uncalibrated,1146,0.9221712955193825,0.7766963518481085,0.9075043630017452,0.8529411764705882,0.5742574257425742,0.9788135593220338,0.6863905325443787,0.07708812367638856,0.3548639304513448,0.05919495855631954,0.32369313329865357,0.4027259519453736,-0.36198291908154023,924,20,86,116
NHANES,model_b_routine_clinical,CatBoost,label_shift_adjusted,label_shift,1146,0.9221712955193825,0.7766963518481085,0.900523560209424,0.7588235294117647,0.6386138613861386,0.9565677966101694,0.6935483870967742,0.07558013780883267,0.34144943868258254,0.04923644793401144,0.22509681347594107,0.40266140591328203,-0.6795936438638663,903,41,73,129
NHANES,model_b_routine_clinical,CatBoost,fixed_recalibration_source_selected,temperature,1146,0.9221712955193825,0.7766963518481085,0.9075043630017452,0.8529411764705882,0.5742574257425742,0.9788135593220338,0.6863905325443787,0.0718152285050741,0.24900489926522038,0.02574346005174858,0.31903199451506237,0.942333297199569,-0.3628614091142583,924,20,86,116
NHANES,model_b_routine_clinical,CatBoost,adaptive_calibration_target_selected,platt,1146,0.9221712955193825,0.7766963518481085,0.9066317626527051,0.8625954198473282,0.5594059405940595,0.9809322033898306,0.6786786786786787,0.07235254991196892,0.24689302777596683,0.021513508598775703,0.5765869047869403,1.0841794113406853,0.26939599331775493,926,18,89,113
Pima,model_b_routine_clinical,CatBoost,naive_transfer,uncalibrated,384,0.7861492537313434,0.5900962274165857,0.6536458333333334,1.0,0.007462686567164179,1.0,0.014814814814814815,0.29751841173312593,1.1484994924615748,0.2972352836080966,0.4901519485084421,0.4808733162502348,1.442181971674092,250,0,133,1
